CD_NOM;Nom scientifique;Indicatrice ZH
73777;Cosmarium asphaerosporum var. strigosum Nordst.;-
648861;Cosmarium asterosporum Coesel, 1989;-
648862;Cosmarium asymmetricum Rich, 1935;-
648863;Cosmarium baileyi Wolle, 1884;-
719860;Cosmarium balteum W. West & G.S West, 1896;-
719862;Cosmarium balteum var. coloradense Cushman, 1904;-
648865;Cosmarium berryense Kouwets, 1998;-
792099;Cosmarium bicuneatum (F.Gay) Nordst., 1889;-
648866;Cosmarium binodulum Reinsch, 1875;-
73779;Cosmarium binum Nordst.;-
73780;Cosmarium bioculatum Bréb. ex Ralfs, 1848;-
648867;Cosmarium bioculatum var. canadense Willi Krieg. & Gerloff, 1962;-
648868;Cosmarium bioculatum var. depressum (Schaarschmidt) Schmidle, 1894;-
73781;Cosmarium bioculatum var. hians West;-
73782;Cosmarium bipunctatum Borg.;-
648869;Cosmarium bireme Nordst., 1888;-
625805;Cosmarium biretum Bréb. ex Ralfs, 1848;-
719863;Cosmarium biretum var. trigibberum Nordst., 1875;-
648870;Cosmarium biscarrossense Capdev., 1983;-
73783;Cosmarium blyttii Wille, 1880;-
648871;Cosmarium blyttii f. australiacum Schmidle, 1896;-
648873;Cosmarium blyttii var. novae-sylvae West & G.S.West, 1897;-
73785;Cosmarium boeckii Wille;-
648874;Cosmarium boitierense Kouwets, 1998;-
648875;Cosmarium boitierense var. inambitiosum Kouwets, 1998;-
73786;Cosmarium botrytis Menegh. ex Ralfs, 1848;-
648877;Cosmarium botrytis var. depressum West & G.S.West, 1905;-
648878;Cosmarium botrytis var. emarginatum Hansg., 1888;-
648879;Cosmarium botrytis var. gemmiferum (Bréb.) Nordst., 1888;-
73788;Cosmarium botrytis var. mediolaeve West.;-
648880;Cosmarium botrytis var. paxillosporum West & G.S.West, 1912;-
73790;Cosmarium botrytis var. subtumidum Wittr.;-
648881;Cosmarium botrytis var. tumidum Wolle, 1884;-
73791;Cosmarium braunii Wittr.;-
73793;Cosmarium brebissonii Menegh.;-
73794;Cosmarium broomei Thwaites;-
73796;Cosmarium caelatum var. spectabile (De Not.) Nordst., 1876;-
73795;Cosmarium caelatum Ralfs, 1848;-
648882;Cosmarium caelatum f. elongata F.Gay, 1892;-
648883;Cosmarium caelatum var. hexagonum West, 1890;-
648884;Cosmarium calcareum Wittrock, 1872;-
894983;Cosmarium calcareum var. spetsbergense (Borge) Kurt Först., 1972;-
648885;Cosmarium calodermum (Gay) de Toni, 1884;-
648886;Cosmarium canaliculatum West & G.S.West, 1896;-
721943;Cosmarium capitulum J.Roy & Bissett, 1886;-
648887;Cosmarium capitulum var. groenlandicum Børgesen, 1894;-
648889;Cosmarium carinthiacum Lütkem. in Grønblad, 1942;-
648890;Cosmarium cinctutum Nordst., 1875;-
648891;Cosmarium circulare Reinsch, 1867;-
648892;Cosmarium circulare var. minus Hansg., 1888;-
648893;Cosmarium clepshydra Spencer, 1882;-
793169;Cosmarium clepsydra Nordst., 1870;-
648894;Cosmarium clepsydra var. bicardia (Reinsch) Croasdale, 1956;-
648895;Cosmarium clepsydra var. delaunayi Manguin, 1936;-
705123;Cosmarium clippertonensis W.R. Taylor, 1939;-
73798;Cosmarium coarctatum West;-
73799;Cosmarium commissurale Bréb. ex Ralfs, 1848;-
648896;Cosmarium commissurale var. acutum Bréb., 1856;-
73800;Cosmarium connatum Bréb. ex Ralfs, 1848;-
648856;Cosmarium conspersum Ralfs, 1848;-
648857;Cosmarium conspersum var. latum (Bréb.) West & G.S.West, 1912;-
648897;Cosmarium conspersum var. subrotundatum West, 1892;-
73801;Cosmarium contractum O.Kirchner, 1878;-
648898;Cosmarium contractum var. ellipsoideum (Elfving) West & G.S.West, 1902;-
648899;Cosmarium contractum var. gartanense West & G.S.West, 1902;-
648901;Cosmarium contractum var. incrassatum A.M.Scott & Prescott, 1958;-
648902;Cosmarium contractum var. indentatum (Grönblad) Willi Krieg. & Gerloff, 1962;-
653401;Cosmarium contractum var. minutum (Delponte) Coesel, 1989;-
648903;Cosmarium contractum var. retusum (West & G.S.West) Willi Krieg. & Gerloff, 1962;-
894985;Cosmarium controversum West, 1890;-
648904;Cosmarium corbula (Bréb.) Bréb., 1856;-
648905;Cosmarium corriense Bisset, 1894;-
73802;Cosmarium costatum Nordst.;-
648906;Cosmarium crassangulatum Borge, 1894;-
73804;Cosmarium crenatum Ralfs;-
648907;Cosmarium crenatum f. boltiana (Gutw.) West & G.S.West, 1912;-
648908;Cosmarium cristatum Ralfs, 1848;-
648909;Cosmarium cruciatum Bréb., 1856;-
73807;Cosmarium cucumis Corda ex Ralfs, 1848;-
792106;Cosmarium cucumis var. helveticum Nordst., 1880;-
73808;Cosmarium cucumis var. magnum Racib., 1885;-
73815;Cosmarium cyclicum P.Lundell, 1871;-
648911;Cosmarium cyclicum var. arcticum (Nordst.) West & G.S.West, 1905;-
648912;Cosmarium cyclicum var. nordstedtianum (Reinsch) West & G.S.West, 1905;-
648913;Cosmarium cylindricum Ralfs, 1848;-
73816;Cosmarium cymatonotophorum West, 1892;-
72482;Cosmarium cymatonotophorum var. granulatum Grönblad, 1934;-
648915;Cosmarium cymatopleurum Nordst., 1872;-
648916;Cosmarium cymatopleurum f. minus Kurz, 1922;-
719864;Cosmarium cymatopleurum var. archeri (Roy & Bisset) West & G.S.West, 1900;-
648918;Cosmarium davidsonii J.Roy & Bissett, 1893;-
648919;Cosmarium debaryi W.Archer in Pritchard, 1861;-
73818;Cosmarium decedens (Reinsch) Racib., 1889;-
648920;Cosmarium decedens var. sinuosum (P.Lundell) Racib., 1889;-
648921;Cosmarium decorum (F.Gay) de Toni;-
648922;Cosmarium demangeonii A.Moug., 1887;-
648923;Cosmarium dentiferum Corda, 1840;-
648924;Cosmarium dentiferum f. minus Huber-Pestalozzi, 1928;-
648925;Cosmarium depauperatum Nordst., 1878;-
73820;Cosmarium depressum (Nägeli) P.Lundell, 1871;-
648926;Cosmarium depressum var. achondrum (Boldt) West & G.S.West, 1905;-
648927;Cosmarium depressum var. granulatum W.B.Turner, 1893;-
648928;Cosmarium depressum var. intermedium (Gutw.) Messikommer, 1927;-
73821;Cosmarium depressum var. planctonicum Reverdin, 1919;-
648929;Cosmarium dickii Coesel, 1989;-
73822;Cosmarium didymochondrum Nordst.;-
73823;Cosmarium difficile Lütkem., 1892;-
648931;Cosmarium difficile var. dilatatum Borge, 1925;-
648932;Cosmarium difficile var. messikommeri (Croasdale) Kouwets, 1997;-
648933;Cosmarium difficile var. subimpressulum Messikommer, 1927;-
